run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,profesores_norm,cupos_disponibles,cupos_totales,orden_lectura
gh-31624873304-0812T1753,2026-08-12T12:54:36-05:00,2027937,NA,(5) Grupo Caribe,Fernando José Rodríguez Mesa,fernando jose rodriguez mesa,15,NA,31
gh-31624873304-0812T1753,2026-08-12T12:54:36-05:00,2027937,NA,(2) Grupo Medellín,Fernando José Rodríguez Mesa,fernando jose rodriguez mesa,30,NA,31
gh-31624873304-0812T1753,2026-08-12T12:54:36-05:00,2027937,NA,(7) Grupo Orinoquía,Fernando José Rodríguez Mesa,fernando jose rodriguez mesa,15,NA,31
gh-31624873304-0812T1753,2026-08-12T12:54:36-05:00,2027937,NA,(8) Grupo Tumaco,Fernando José Rodríguez Mesa,fernando jose rodriguez mesa,15,NA,31
gh-31624873304-0812T1753,2026-08-12T12:54:39-05:00,2029911,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,Jorge Enrique Londono Pinzón; Jairo Danilo Moreno Hernandez,jairo danilo moreno hernandez;jorge enrique londono pinzon,0,NA,33
gh-31624873304-0812T1753,2026-08-12T12:54:42-05:00,2029912,CLASE TEORICA,(1) Grupo 1 - Clase Presencial - Sede Bogotá,Diego Alejandro Torres Galindo,diego alejandro torres galindo,0,NA,36
gh-31624873304-0812T1753,2026-08-12T12:54:46-05:00,1000176-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,Harold Enrique Tenorio Quiñones,harold enrique tenorio quinones,20,NA,39
gh-31624873304-0812T1753,2026-08-12T12:54:48-05:00,1000170-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,ALVARO RIVAS GUZMAN,alvaro rivas guzman,50,NA,40
gh-31624873304-0812T1753,2026-08-12T12:54:49-05:00,1000159-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,LUZ MARINA OCAMPO CARMONA,luz marina ocampo carmona,40,NA,41
gh-31624873304-0812T1753,2026-08-12T12:54:50-05:00,1000158-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,Maria Del Rosario Rojas Robles,maria del rosario rojas robles,200,NA,42
