run_id,ts_inicio,ts_fin,planes,shard,n_esperadas,n_leidas,n_fallidas,codigos_fallidos,completo,n_paginas,intentos_listado
gh-31326948682,2026-08-09T12:38:59-05:00,2026-08-09T12:41:24-05:00,2542 INGENIERÍA CIVIL,1/1,59,25,34,2015215;2015942;2017256;2017257;2017258;2017259;2017260;2017261;1000017-B;1000018-B;1000021-B;1000020-B;2017262;2017263;2015702;2017264;2017265;2017266;2017267;2017268;2017270;2017271;2016640;2017272;2017273;2017274;2017275;2017277;2016506;2017278;2027953;2017279;2017295;2017296,0,,
gh-31330201224,2026-08-09T13:53:40-05:00,2026-08-09T13:55:44-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31334982229,2026-08-09T15:43:43-05:00,2026-08-09T15:45:41-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31337451805,2026-08-09T16:40:51-05:00,2026-08-09T16:42:22-05:00,2542 INGENIERÍA CIVIL,1/1,52,10,42,2015540;2015211;2015212;2015356;2015213;2015214;2015446;2015541;2023322;2015219;2015187;2015220;2015189;2015192;2015190;2015191;2015193;2015194;2015542;2015195;2015543;2015544;2015196;2015197;2015198;2015221;2015222;2015223;2015199;2015200;2015201;2015202;2015203;2015204;2015205;2015210;2015206;2015207;2015208;2015209;2015279;2022290,0,,
gh-31342430722,2026-08-09T18:39:47-05:00,2026-08-09T18:41:34-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31345044316,2026-08-09T19:39:36-05:00,2026-08-09T19:41:45-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31345044316,2026-08-09T20:09:36-05:00,2026-08-09T20:35:36-05:00,2542 INGENIERÍA CIVIL,1/1,72,0,8,2015699;1000003-B;2015707;2015708;1000010-B;1000004-B;1000006-B;1000005-B,0,,
gh-31345044316,2026-08-09T20:39:37-05:00,2026-08-09T20:41:18-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31345044316,2026-08-09T21:09:37-05:00,2026-08-09T21:10:41-05:00,2542 INGENIERÍA CIVIL,1/1,73,11,62,2025574;2017852;2016145;1000012-B;1000009-B;2016234;2025578;2016149;2023852;2016151;2015695;2021181;2021182;2024386;2024385;2016250;2016158;2016382;2017881;1000048-B;2023926;2024731;2022291;2021184;2016163;2016164;2021521;2016167;2016168;2017890;2016310;2015466;2016784;1000023-B;2016263;2016292;2025577;2025543;2027830;2016153;2016186;2016173;2016174;2016175;2016176;2016177;2016178;2017939;2021669;2016183;2016184;2016185;2015479;2017905;2017906;2016192;2015998;2021185;2016282;2017379;2015310;2015311,0,,
gh-31345044316,2026-08-09T21:39:36-05:00,2026-08-09T21:41:18-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31345044316,2026-08-09T22:09:36-05:00,2026-08-09T22:11:03-05:00,2542 INGENIERÍA CIVIL,1/1,64,26,38,2015942;2017280;2017256;2016489;2016493;2017282;2016495;2016498;2016699;2016741;2016500;1000017-B;1000018-B;1000021-B;1000020-B;2015702;2017265;2016753;2017271;2016640;2017273;2017274;2017275;2025967;2017277;2016770;2016609;2017287;2016506;2016507;2017288;2016509;2022888;2017290;2017278;2017297;2017298;2015159,0,,
gh-31352060992,2026-08-09T22:15:06-05:00,2026-08-09T22:17:14-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31352060992,2026-08-09T22:45:07-05:00,2026-08-09T22:46:28-05:00,2542 INGENIERÍA CIVIL,1/1,72,24,48,2015699;2015707;2015708;1000010-B;2017256;2015709;2015710;2015712;2015713;2015695;2016592;2016741;1000038-B;2015714;1000017-B;2015702;2015715;2015716;2015717;1000040-B;2024929;2015718;2015719;2015720;2015721;1000027-B;1000031-B;1000025-B;2015726;2015704;2015728;2015729;2015731;1000026-B;1000028-B;1000030-B;2016609;2016610;2015735;2015736;2015741;2015738;2015739;2015740;2015289;2015290;2015743;2015744,0,,
gh-31352060992,2026-08-09T23:15:06-05:00,2026-08-09T23:17:03-05:00,2542 INGENIERÍA CIVIL,1/1,101,10,91,2015979;2017386;2025857;2025860;2025867;2025868;2025873;2025878;2025881;2025892;2025894;2017426;2017427;2025906;2017429;2025448;2017484;2015623;2015624;2015625;2017393;2017394;2017395;2017396;2017397;2025451;2016383;2017467;2017399;2025453;2017403;2025908;2025909;2017408;2017412;2017410;2017411;2017409;2025923;2025925;2025927;2015929;2015928;2017407;2025936;2025940;2017468;2017469;2025947;2017418;2017414;2017415;2017416;2017417;2015932;2015933;2015931;2017421;2025457;2025458;2025955;2025956;2026447;2026448;2017455;2017456;2025475;2025476;2017457;2025954;2017424;2017464;2026449;2026450;2026451;2026456;2026461;2026462;2026463;2026467;2026468;2026469;2026470;2012622;2026473;2015809;2015810;2017413;2017769;2017770;2025466,0,,
gh-31355229767,2026-08-09T23:21:48-05:00,2026-08-09T23:23:33-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31356393035,2026-08-09T23:43:45-05:00,2026-08-09T23:45:22-05:00,2542 INGENIERÍA CIVIL,1/1,80,15,65,2015672;2015649;2015678;2029149;2015673;2027884;1000012-B;2015647;1000010-B;2015570;2015651;2015652;2024799;2027882;2015653;1000014-B;2029465;2029466;2015657;2015658;2015681;2029461;2015682;2015683;2029464;2029462;2015684;1000037-B;1000038-B;2015685;2015686;1000022-B;2029467;2015674;2027883;2027885;1000040-B;2015675;2015663;2015687;1000035-B;1000027-B;1000025-B;2015676;1000023-B;2015688;2015791;2015689;2015691;2015666;2015690;2015667;1000026-B;1000028-B;2029150;2015597;2015668;1000034-B;1000036-B;2015677;2015692;2015693;2015286;2015287;2015670,0,,
gh-31356702976,2026-08-09T23:49:51-05:00,2026-08-09T23:51:34-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31356702976,2026-08-10T00:19:50-05:00,2026-08-10T00:21:33-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31356702976,2026-08-10T00:49:50-05:00,2026-08-10T00:51:33-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
